Produto,Categoria,Custo,Venda,Margem,Fornecedor
"Fone JBL T110",Eletrônicos,80,120,33%,CJ Dropshipping
"Smartwatch X7",Eletrônicos,95,159,40%,CJ Dropshipping
"Carregador Portátil 10000mAh",Eletrônicos,45,89,49%,Spocket
"Capinha iPhone 13",Acessórios,25,49,49%,CJ Dropshipping
"Pulseira Magnética",Saúde,30,69,57%,Spocket
"Mini Drone",Eletrônicos,200,349,43%,CJ Dropshipping
"Organizador Cabos",Utilidades,15,39,62%,Spocket
"Mouse Sem Fio",Informática,40,79,49%,CJ Dropshipping
"Mochila Antifurto",Bolsas,110,199,45%,Spocket
"Ring Light",Fotografia,50,99,49%,CJ Dropshipping
"Adaptador USB-C",Eletrônicos,20,45,56%,Spocket
"Suporte Celular Carro",Automotivo,15,39,62%,CJ Dropshipping
"Teclado Bluetooth",Informática,60,119,50%,Spocket
"Ventilador Portátil",Climatização,35,69,49%,CJ Dropshipping
"Headphone Bluetooth",Eletrônicos,90,159,43%,Spocket
"Filtro Privacidade Notebook",Informática,45,89,49%,CJ Dropshipping
"Luminária LED",Casa,40,79,49%,Spocket
"Carregador Wireless",Eletrônicos,55,99,44%,CJ Dropshipping
"Webcam HD",Informática,75,139,46%,Spocket
"Relógio Inteligente",Eletrônicos,120,199,40%,CJ Dropshipping 